,age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
63,18,0,0,0,1,0,2,1,20,156.06,4783.23,28.75639925305587,597.87,1,0,1,3,7,3
64,10,1,0,0,0,0,2,0,12,31.67,25436.23,15.976715237406287,656.67,0,1,0,0,3,4
65,35,1,1,2,1,2,2,1,4,157.03,22975.33,18.0,548.1,0,1,0,0,3,5
66,43,1,1,2,0,0,2,1,11,227.23,29602.15,24.0,663.63,0,1,1,3,2,4
67,28,1,2,0,0,1,1,1,4,457.33,20883.28,14.0,-549.3574976761337,0,1,0,0,7,5
68,53,1,1,3,0,2,1,0,6,228.02,46353.54,19.0,302.005898539957,1,0,1,2,0,3
69,55,0,1,4,0,0,2,1,18,42.77,8996.95,15.976715237406287,749.56,1,0,1,3,3,3
70,59,0,1,2,1,1,1,0,-999,207.52,12556.28,10.0,-44.597632583960205,0,1,0,0,0,4
71,39,1,0,2,0,1,1,1,13,98.57,2645.63,23.0,674.42,0,1,0,0,2,5
72,11,1,0,1,0,0,1,2,23,176.31,8983.02,25.0,707.46,0,1,1,1,2,4
73,37,1,2,2,0,2,0,1,17,687.16,29101.96,18.0,713.82,1,1,0,0,1,4
74,53,1,0,2,0,0,1,2,-999,253.96,19233.1,25.0,1032.199126230719,1,0,1,1,3,5
75,57,1,1,2,0,2,1,0,13,119.1,44341.82,15.976715237406287,563.92,1,0,1,2,1,5
76,47,1,1,5,0,2,1,2,10,131.86,26399.43,17.0,757.01,0,1,1,2,1,3
77,50,1,1,1,1,0,1,2,19,65.39,17054.69,21.0,353.3690014856328,0,1,1,1,0,3
78,49,0,0,5,1,1,1,2,3,74.9,41612.23,28.0,1196.5693152600402,0,1,1,2,0,4
79,54,1,1,5,1,0,2,1,20,-687.6295740289631,42060.89,24.0,684.69,1,0,1,2,3,4
80,30,1,2,1,0,2,1,0,9,97.74,32347.7,27.0,686.8821987429081,0,1,0,0,1,3
81,25,0,0,5,0,2,0,1,13,135.21,3561.26,17.0,686.8821987429081,1,0,1,1,7,3
82,53,0,0,4,0,1,1,2,18,172.99,9044.15,8.0,763.14,1,0,1,2,4,1
83,54,1,0,0,1,0,2,0,13,254.72,11345.66,7.0,572.41,0,1,1,2,2,5
84,62,0,0,2,0,2,0,0,5,304.52,47658.52,29.0,699.19,0,1,1,1,7,4
85,55,1,0,3,1,0,0,1,1,1316.52,2367.56,25.0,441.8365499392011,1,0,0,0,0,2
86,30,0,0,2,1,0,1,2,13,264.54,40756.7,26.0,628.31,1,0,0,0,7,5
87,30,1,0,5,0,0,2,0,12,191.41,25575.44,15.976715237406287,648.68,0,1,1,2,1,4
88,51,1,1,4,1,2,1,2,13,135.09,48819.9,8.0,686.8821987429081,1,0,1,2,1,3
89,29,1,2,5,1,1,2,0,12,123.37,13032.52,6.0,686.8821987429081,1,0,0,0,0,4
90,16,1,0,5,0,1,1,0,9,355.31,20457.22,5.0,1233.7697272353937,1,1,1,2,2,3
91,25,0,2,1,1,2,2,1,11,31.88,35414.54,20.0,788.67,0,1,0,0,0,3
92,62,0,0,0,0,0,2,2,14,125.0,38802.24,28.0,686.8821987429081,0,1,1,3,0,4
93,24,0,1,4,1,2,1,0,5,181.34,43554.96,1.0,728.69,1,0,1,2,4,2
94,48,1,0,2,1,2,1,1,8,960.62,13954.02,17.0,631.15,0,1,1,1,1,4
95,56,1,2,0,1,0,1,2,24,48.59,28071.04,16.0,533.05,0,1,1,1,3,5
96,17,1,2,0,1,0,1,2,12,30.12,15027.14,12.0,686.8821987429081,0,1,0,0,0,5
97,23,0,1,1,1,2,1,2,21,727.69,4919.72,13.0,758.83,1,1,0,0,7,3
98,42,0,0,2,0,1,0,0,3,419.51,14661.42,15.976715237406287,404.4897583720529,0,1,1,2,0,5
99,59,1,2,1,1,2,0,1,8,899.04,49614.88,23.0,758.69,1,0,0,0,3,5
100,18,1,1,0,0,0,1,1,11,293.42,2521.3,15.976715237406287,964.8409708374116,1,0,1,2,1,5
101,23,1,0,1,1,0,1,2,10,934.354219849904,11955.94,24.0,630.8,0,1,1,3,1,4
102,52,0,0,0,1,0,2,1,4,826.51,14877.24,25.0,522.61,1,0,0,0,1,5
103,49,0,1,4,1,1,1,1,21,115.41,41156.81,27.0,741.02,0,1,0,0,1,3
104,30,1,1,4,0,1,2,2,7,481.45,4207.45,28.0,776.36,1,1,0,0,1,3
105,31,0,1,0,0,1,1,1,14,148.95,2364.45,15.976715237406287,634.51,0,1,0,0,7,5
106,27,1,0,5,0,0,2,1,21,357.45,29825.45,9.0,665.63,0,1,1,1,3,4
107,56,1,0,1,0,2,1,0,21,1386.2328573111793,9454.17,19.0,778.27,1,0,0,0,7,3
108,11,1,0,5,0,0,1,0,15,96.14,11995.93,19.0,207.1697690180181,1,0,0,0,1,4
109,31,0,1,5,0,0,0,2,10,428.05,6325.08,28.0,80.09369312905504,0,1,0,0,2,4
110,29,1,1,4,0,1,1,2,14,42.48,16098.94,21.0,766.85,1,0,1,1,3,3
111,31,0,0,5,1,2,2,2,24,33.91,23226.43,7.0,762.48,0,1,1,1,1,3
112,11,0,1,0,0,1,1,1,8,1060.5279791549135,10990.31,16.0,271.71438129394863,1,0,0,0,2,5
113,14,1,1,0,0,0,1,1,-999,1156.4319042423044,32302.27,24.0,520.33,0,1,0,0,1,5
114,26,1,0,5,1,1,2,1,7,187.91,17002.23,11.0,700.11,0,1,0,0,7,3
115,62,1,0,4,0,0,1,1,10,284.09,48305.86,15.976715237406287,730.05,0,1,0,0,3,3
116,51,1,2,3,0,2,1,0,3,-494.0838770502796,40667.27,19.0,809.83,1,0,0,0,6,3
117,43,0,2,5,1,0,2,0,20,-771.4156089065677,16186.76,8.0,633.22,1,0,0,0,1,4
118,23,1,1,1,0,1,1,0,12,109.76,46102.66,8.0,783.03,1,0,0,0,2,3
119,57,1,1,1,1,1,1,2,-999,56.63,10171.97,23.0,757.61,1,0,1,2,0,3
120,17,1,1,1,1,1,2,2,21,81.15,46109.6,17.0,270.4676559723125,1,0,0,0,0,4
121,42,1,0,3,1,0,2,2,10,1195.7326664672294,31504.62,10.0,1207.2537286760455,1,0,0,0,1,3
122,21,0,0,5,0,0,2,1,7,99.95,22865.42,21.0,686.8821987429081,0,1,0,0,0,3
123,46,1,2,2,1,0,2,0,21,287.39,44809.68,27.0,629.6,0,1,0,0,2,4
124,41,1,2,5,1,1,1,0,-999,892.02,36394.44,26.0,630.98,1,1,1,3,3,4
125,61,1,0,0,1,1,2,1,7,115.29,13019.31,14.0,164.07034816193467,1,0,1,2,2,4
126,15,0,0,4,0,1,1,0,5,185.05,43833.54,15.0,743.57,0,1,0,0,2,3
127,56,1,0,1,1,0,1,1,16,30.16,33886.44,5.0,670.11,0,1,0,0,1,4
128,35,1,0,1,0,2,0,0,17,219.13,70247.76,3.0,1293.1693808393377,1,1,0,0,8,1
129,57,1,1,2,1,0,2,2,8,400.35,30248.45,9.0,660.25,0,1,1,3,1,4
130,64,1,1,2,0,0,1,2,20,49.24,39981.97,12.0,648.6,1,0,1,1,7,5
131,21,1,1,0,1,0,2,1,16,590.85,21919.13,14.0,610.24,1,0,1,1,2,5
132,53,0,1,1,0,0,2,2,22,1142.148835374673,34918.7,6.0,699.08,1,0,1,2,3,4
133,26,1,2,2,1,0,1,1,16,138.33,8025.77,29.0,1016.7857130097486,1,0,0,0,1,4
134,61,1,1,1,1,0,2,1,7,516.46,45544.33,29.0,780.96,0,1,1,3,7,3
135,30,1,1,2,0,2,1,0,19,211.19,2554.48,10.0,622.45,1,1,1,1,3,5
136,38,1,1,1,1,1,1,0,19,942.84,49037.16,6.0,686.8821987429081,0,1,0,0,0,3
137,35,0,0,1,0,2,2,0,10,267.45,32922.76,8.0,701.45,0,1,0,0,0,4
138,61,0,0,2,1,1,1,2,22,34.37,3862.41,10.0,602.86,0,1,0,0,7,5
139,53,1,0,1,0,0,1,1,19,213.34,8860.9,6.0,671.74,1,0,1,1,3,4
140,55,1,1,2,0,0,1,2,23,50.48,8944.54,25.0,626.96,1,0,1,3,1,5
141,23,1,0,0,1,0,2,2,13,1044.243493684985,26060.01,22.0,684.88,1,0,1,1,3,4
142,11,1,1,4,1,1,0,1,-999,628.79,33199.52,22.0,777.94,1,0,1,1,1,3
143,22,1,1,2,0,1,0,1,17,56.58,41050.72,15.0,686.8821987429081,1,0,1,1,3,4
144,37,1,2,5,1,1,2,0,11,172.07,23587.32,28.0,326.1310708697294,1,0,0,0,3,4
145,31,1,2,3,0,0,1,2,6,44.99,3087.16,8.0,750.95,1,0,0,0,0,3
146,20,1,0,3,0,1,2,1,11,144.33,54420.14,5.0,686.8821987429081,0,1,0,0,8,1
147,53,1,0,4,1,2,0,0,7,787.74,20129.88,12.0,686.8821987429081,1,0,1,2,5,1
148,38,0,0,0,0,1,1,0,26,30.49,37139.89,20.0,627.26,1,0,0,0,1,5
149,59,0,0,0,0,2,0,2,8,400.21,33996.1,38.47159929450214,697.6,1,1,0,0,2,4
150,50,0,1,1,1,0,2,0,13,103.36,39610.89,10.0,653.12,1,0,1,1,1,4
151,64,0,0,5,0,0,2,1,8,58.15,27995.24,18.0,686.8821987429081,1,0,0,0,2,3
152,27,0,1,1,1,0,2,2,10,862.2,35895.98,21.0,686.8821987429081,0,1,0,0,0,4
153,12,0,1,1,1,2,1,2,9,412.22,1313.11,18.0,733.13,1,1,0,0,4,2
154,29,0,2,4,1,1,2,2,19,222.69,18297.21,2.0,774.47,0,1,1,3,4,1
155,39,0,0,5,0,1,2,2,16,283.85,3888.65,18.0,959.9204100132208,1,0,0,0,4,2
156,37,0,0,4,0,0,1,0,17,136.19,6965.48,5.0,1181.873762583066,1,0,0,0,7,3
157,37,0,1,1,0,1,2,2,5,32.29,63097.55,-12.714310534412167,780.09,0,1,0,0,8,2
158,21,1,1,5,0,1,1,2,12,145.45,48500.63,11.0,727.97,0,1,1,1,1,3
159,64,0,1,0,0,0,2,0,10,313.84,23211.35,15.0,573.16,1,0,0,0,2,5
160,56,0,1,5,0,2,2,2,11,254.72,28425.26,11.0,789.3,1,1,0,0,0,3
161,37,0,1,0,0,1,1,0,9,206.56,13037.39,13.0,616.68,1,0,1,2,7,5
162,55,1,1,0,0,1,2,2,21,51.75,27564.76,24.0,660.59,0,1,0,0,7,5
163,18,1,0,0,1,2,2,0,10,117.9,49537.82,7.0,528.08,1,0,1,1,2,5
164,27,0,0,5,1,1,2,1,2,484.45,83453.57,14.0,788.97,0,1,1,3,6,2
165,57,1,1,4,0,2,2,2,6,32.89,16340.59,-1.590067117833705,686.8821987429081,1,0,1,2,3,3
166,48,0,0,0,1,0,1,1,15,77.18,49448.05,5.0,605.23,0,1,1,2,2,4
167,54,1,1,0,0,0,1,2,8,60.77,45095.33,1.234738898757417,692.59,1,0,0,0,2,5
168,52,0,2,1,0,2,2,1,15,197.85,42084.72,18.0,710.7,0,1,0,0,1,3
169,33,0,1,3,1,2,0,1,11,502.4,4714.82,24.0,472.8025703520018,1,0,0,0,3,3
170,35,1,1,2,1,0,2,0,6,33.96,6175.77,22.0,545.14,1,0,0,0,2,5
171,42,1,0,3,0,2,0,1,13,617.09,33226.66,17.0,1053.420685435173,1,1,1,3,2,3
172,39,0,0,1,0,1,1,0,9,34.93,42965.53,29.0,630.68,0,1,1,1,2,4
173,50,0,0,1,1,2,1,0,20,198.19,20710.0,10.0,686.8821987429081,0,1,1,3,2,4
174,29,1,0,4,1,1,1,2,11,317.25,17951.87,17.0,753.97,0,1,0,0,1,3
175,47,1,1,2,1,0,1,0,5,876.87,41927.46,17.0,636.3,1,0,1,2,3,3
176,16,0,0,1,0,1,2,2,8,133.36,21896.63,13.0,644.25,1,0,0,0,0,4
177,48,1,0,0,1,2,0,0,8,522.81,27264.0,11.0,556.79,1,1,1,2,3,5
178,14,0,0,2,0,1,1,0,10,33.34,46392.24,24.0,582.93,1,0,0,0,1,5
179,13,0,2,4,0,1,2,0,5,84.05,10423.83,29.0,1044.8153799682143,0,1,1,2,0,3
180,56,0,1,2,1,2,1,2,19,69.22,14117.54,12.0,523.54,0,1,1,2,3,5
181,64,0,0,5,0,1,1,1,14,32.16,67458.29,-13.646849550496079,764.62,1,0,1,2,8,2
182,47,1,1,2,1,1,0,2,20,692.73,18404.11,19.0,1072.7451280522948,1,0,1,2,3,4
183,46,0,1,4,0,2,0,1,12,261.76,15786.32,15.976715237406287,704.13,0,1,0,0,2,3
184,45,1,1,4,1,0,2,1,14,38.65,1225.14,9.0,700.07,1,0,1,3,7,3
185,60,0,1,4,1,2,2,2,16,182.16,43782.88,15.976715237406287,761.49,0,1,1,2,8,2
186,19,0,1,4,1,2,2,0,20,31.98,14432.03,24.0,730.04,1,0,1,1,1,3
187,21,0,1,5,0,0,2,1,12,283.79,38527.24,26.0,760.53,1,0,1,2,0,3
188,60,1,0,5,1,0,0,1,9,1185.912249727444,29872.64,8.0,744.29,1,0,1,2,1,3
189,32,1,1,1,0,0,2,1,17,329.16,37811.56,27.0,757.14,0,1,1,3,3,3
190,36,0,1,4,1,1,0,0,7,700.63,26571.36,13.0,738.84,1,1,0,0,4,2
191,52,0,1,0,0,1,2,2,3,166.57,45964.8,17.0,630.0,1,0,1,2,7,5
192,39,1,1,2,1,2,2,0,12,126.05,43632.02,16.0,594.51,1,0,0,0,3,5
193,42,0,0,5,0,1,1,0,11,428.35,26483.73,14.0,713.42,0,1,0,0,0,3
194,56,1,1,5,1,0,1,2,16,148.06,15456.63,29.0,984.3321161749412,0,1,1,2,0,4
195,17,0,1,1,0,0,1,0,15,196.56,1246.57,22.0,766.76,1,0,1,2,0,3
196,56,1,1,2,0,2,1,2,10,359.98,38699.34,29.0,560.14,0,1,1,1,1,5
197,33,0,0,4,0,0,1,1,22,32.47,25468.76,15.976715237406287,298.8686939801553,0,1,0,0,1,3
198,33,0,0,1,0,2,2,0,22,177.73,35286.1,15.976715237406287,709.01,1,0,1,2,3,4
199,41,1,1,0,0,1,2,0,9,493.22,20294.0,23.0,686.8821987429081,1,0,0,0,3,4
200,42,0,0,0,0,1,2,1,4,316.14,13516.16,20.0,659.85,0,1,1,1,2,5
201,43,1,0,1,1,1,1,1,19,107.18,16027.34,4.0,1059.640735763282,0,1,1,1,8,1
202,12,0,0,2,1,1,2,2,22,108.2,2998.4,26.0,678.14,1,0,1,3,7,4
203,23,0,2,0,0,1,1,1,11,-900.2103186369052,14865.87,25.0,686.8821987429081,0,1,1,1,0,5
204,14,0,1,1,0,1,0,2,5,407.97,19138.74,12.0,686.8821987429081,0,1,0,0,3,4
205,62,0,1,1,1,2,2,0,6,308.28,38497.78,21.0,792.37,1,0,1,3,7,3
206,60,1,1,1,0,1,1,1,7,67.78,14175.2,15.976715237406287,464.5011749930118,0,1,1,2,1,4
207,56,1,1,0,1,2,1,1,5,732.71,47547.72,15.0,936.3622800699138,1,1,1,3,2,4
208,41,1,1,1,1,1,1,0,22,188.96,40428.78,23.0,614.25,0,1,1,2,7,4
209,18,0,1,1,0,2,1,2,21,32.82,46250.9,2.0,779.89,1,0,0,0,8,1
210,63,1,2,1,1,0,0,0,17,1099.5,95625.4,13.0,686.8821987429081,0,1,0,0,5,1
211,23,1,0,1,1,2,1,0,15,547.87,36383.39,4.0,763.15,0,1,1,1,4,2
212,17,1,0,3,1,0,1,1,14,80.4,15214.2,16.0,761.95,1,0,0,0,0,3
213,42,0,0,1,1,2,1,2,8,179.84,39667.91,10.0,-38.0843140071828,0,1,0,0,2,3
214,31,0,0,5,1,2,1,2,10,731.24,36981.7,26.0,774.16,0,1,1,3,1,3
215,12,0,1,1,0,0,2,2,13,49.19,35209.09,10.0,799.43,0,1,1,1,5,1
216,63,1,1,3,0,1,2,0,15,30.66,15079.52,23.0,469.5653777647852,1,0,0,0,7,3
217,16,0,1,4,0,1,1,0,7,34.49,31418.7,15.976715237406287,770.66,1,0,1,3,2,3
218,38,1,1,0,1,2,1,1,17,117.11,29114.92,15.976715237406287,521.7,0,1,1,1,7,5
219,15,1,0,3,0,1,2,2,-999,93.76,28456.92,5.0,704.31,0,1,0,0,3,3
220,30,1,0,2,0,0,1,2,-999,121.38,13374.01,12.0,693.0,1,0,0,0,3,5
221,64,1,2,2,0,1,0,1,10,445.01,37220.97,15.976715237406287,550.13,0,1,1,1,3,5
222,59,1,1,2,1,0,2,1,10,628.79,40093.14,55.016168569095036,622.06,0,1,0,0,1,4
223,23,1,0,2,0,1,1,0,11,31.45,18606.73,24.0,621.94,0,1,0,0,2,4
224,32,0,1,5,0,2,2,2,24,38.88,41019.89,19.0,750.83,0,1,1,1,5,2
225,11,1,1,4,1,1,2,2,12,85.52,10636.13,5.0,730.02,0,1,0,0,7,3
226,42,1,0,3,1,0,2,1,22,1097.8218895490347,27380.8,27.0,799.91,0,1,1,2,2,3
227,12,1,1,2,0,2,1,2,8,322.3,14310.09,11.0,559.2451349253587,1,0,0,0,2,5
228,45,1,0,4,1,1,1,2,13,31.2,37295.99,25.0,1196.6007504272748,0,1,0,0,7,3
229,19,0,1,3,1,2,2,0,11,38.63,23832.38,15.976715237406287,686.8821987429081,0,1,1,1,2,3
230,55,0,0,1,0,2,2,0,12,291.94,97643.81,5.0,713.99,1,1,0,0,8,2
231,16,0,0,5,0,2,1,2,-999,343.13,32605.84,16.0,335.26208183526705,0,1,0,0,1,4
232,56,1,0,3,1,1,2,0,19,180.37,21460.83,27.0,240.15819303168496,1,0,0,0,1,3
233,24,0,1,5,1,1,1,1,23,31.81,36494.51,24.0,622.69,0,1,0,0,1,4
234,24,0,1,3,0,2,2,1,12,31.86,21842.03,19.0,743.44,0,1,0,0,7,3
235,53,1,1,0,0,0,0,1,5,428.81,40698.54,9.0,600.39,0,1,1,2,3,4
236,12,0,1,2,0,0,2,2,17,97.85,31574.54,28.0,686.8821987429081,0,1,0,0,3,4
237,58,1,1,0,0,2,1,0,19,1223.7690114582874,47756.12,15.0,631.09,1,0,0,0,0,5
238,63,0,2,4,1,0,2,1,15,1090.92,12483.66,2.0,705.75,1,1,1,2,5,2
239,62,1,1,1,0,1,2,1,13,402.05,20411.69,15.0,517.3513913379674,1,0,0,0,4,1
240,48,0,2,3,1,1,1,1,2,33.18,24394.24,16.0,1042.0870641604756,0,1,1,1,2,3
241,60,1,1,1,0,1,2,0,9,54.08,19078.81,17.0,752.88,1,0,1,1,3,3
242,64,0,0,0,1,1,0,0,9,-408.2693518941809,36532.11,16.0,621.72,0,1,0,0,3,4
243,11,0,0,0,0,1,2,0,5,106.24,47511.49,11.0,559.8,1,0,0,0,1,5
244,39,1,0,2,1,1,1,1,15,46.22,35937.37,6.0,686.8821987429081,1,0,0,0,7,4
245,52,0,0,2,0,2,0,0,15,45.45,47218.23,29.0,632.14,0,1,0,0,7,5
246,54,0,1,1,1,1,2,0,2,67.48,47619.23,10.0,754.69,0,1,0,0,5,2
247,12,1,1,5,1,0,2,2,2,226.47,27477.44,16.0,748.61,1,0,0,0,1,3
248,49,0,1,1,1,0,2,0,9,714.55,10779.16,23.0,734.08,1,0,0,0,1,3
249,23,1,1,4,0,2,1,2,16,125.89,77291.02,1.0,1085.7706011868645,1,0,1,1,6,2
250,62,0,2,2,1,0,2,1,17,112.9,20038.77,12.0,274.3235842251838,0,1,0,0,2,5
251,45,1,2,5,0,0,2,0,19,105.91,46063.59,6.0,761.41,1,0,1,2,7,3
252,17,0,2,5,1,2,2,2,9,154.43,11333.18,18.0,740.91,1,0,0,0,7,3
253,22,1,2,0,1,2,1,2,10,589.12,36545.91,12.0,680.88,1,0,1,3,1,5
254,38,1,1,2,0,1,1,1,17,174.48,40594.31,15.976715237406287,615.71,0,1,1,2,0,5
255,28,1,0,3,1,2,2,2,16,43.58,23397.98,8.0,759.48,1,0,0,0,1,3
256,39,0,0,5,0,0,1,0,9,32.91,11023.03,15.976715237406287,208.90394517916,0,1,0,0,7,3
257,61,0,1,2,1,1,1,2,20,100.33,34614.42,15.0,642.93,0,1,1,2,0,5
258,64,1,1,1,1,1,1,1,11,449.03,33430.37,14.0,435.9525482844404,0,1,1,1,5,1
259,37,1,1,5,1,2,2,2,7,43.78,17353.48,21.0,282.36387933775825,1,0,0,0,1,4
260,48,1,1,2,0,0,1,2,13,188.21,7375.39,16.0,664.98,0,1,0,0,0,5
261,54,1,1,4,1,1,2,0,10,32.13,35792.72,27.0,686.8821987429081,1,0,1,1,1,3
262,34,0,0,1,0,0,1,1,19,154.58,3612.98,24.0,686.8821987429081,1,0,1,1,1,3
263,50,0,1,5,1,1,1,0,11,145.59,13518.27,12.0,740.22,1,0,0,0,1,3
264,20,0,1,1,1,0,1,2,14,233.72,15596.42,14.0,780.92,1,0,0,0,3,3
265,27,0,2,2,1,0,1,1,15,304.09,32189.63,7.0,549.41,0,1,1,3,7,5
266,14,0,1,2,1,0,1,2,14,163.99,27114.49,29.0,583.06,0,1,1,2,0,5
267,32,0,1,2,1,0,0,0,8,255.4,13608.16,16.0,524.52,1,1,1,1,3,5
